timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1516055259054,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://localhost:8080/BiMr/]/map.xhtml,Thread Group 1-35,text,false,,1183,0,1,1,0,0,0
1516055259254,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://localhost:8080/BiMr/]/,Thread Group 1-36,text,false,,1174,0,1,1,0,0,0
1516055259254,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://localhost:8080/BiMr/]/map.xhtml,Thread Group 1-36,text,false,,1183,0,1,1,0,0,0
1516055259453,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://localhost:8080/BiMr/]/,Thread Group 1-37,text,false,,1174,0,1,1,0,0,0
1516055259454,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://localhost:8080/BiMr/]/map.xhtml,Thread Group 1-37,text,false,,1183,0,1,1,0,0,0
1516055259653,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://localhost:8080/BiMr/]/,Thread Group 1-38,text,false,,1174,0,1,1,0,0,0
1516055259654,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://localhost:8080/BiMr/]/map.xhtml,Thread Group 1-38,text,false,,1183,0,1,1,0,0,0
1516055259853,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://localhost:8080/BiMr/]/,Thread Group 1-39,text,false,,1174,0,1,1,0,0,0
1516055259854,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://localhost:8080/BiMr/]/map.xhtml,Thread Group 1-39,text,false,,1183,0,1,1,0,0,0
1516055260053,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://localhost:8080/BiMr/]/,Thread Group 1-40,text,false,,1174,0,1,1,0,0,0
1516055260054,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://localhost:8080/BiMr/]/map.xhtml,Thread Group 1-40,text,false,,1183,0,1,1,0,0,0
1516055260253,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://localhost:8080/BiMr/]/,Thread Group 1-41,text,false,,1174,0,1,1,0,0,0
1516055260254,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://localhost:8080/BiMr/]/map.xhtml,Thread Group 1-41,text,false,,1183,0,1,1,0,0,0
1516055260454,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://localhost:8080/BiMr/]/,Thread Group 1-42,text,false,,1174,0,1,1,0,0,0
1516055260454,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://localhost:8080/BiMr/]/map.xhtml,Thread Group 1-42,text,false,,1183,0,1,1,0,0,0
1516055260654,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://localhost:8080/BiMr/]/,Thread Group 1-43,text,false,,1174,0,1,1,0,0,0
1516055260654,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://localhost:8080/BiMr/]/map.xhtml,Thread Group 1-43,text,false,,1183,0,1,1,0,0,0
1516055260855,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://localhost:8080/BiMr/]/,Thread Group 1-44,text,false,,1174,0,1,1,0,0,0
1516055260855,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://localhost:8080/BiMr/]/map.xhtml,Thread Group 1-44,text,false,,1183,0,1,1,0,0,0
1516055261054,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://localhost:8080/BiMr/]/,Thread Group 1-45,text,false,,1174,0,1,1,0,0,0
1516055261054,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://localhost:8080/BiMr/]/map.xhtml,Thread Group 1-45,text,false,,1183,0,1,1,0,0,0
1516055261254,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://localhost:8080/BiMr/]/,Thread Group 1-46,text,false,,1174,0,1,1,0,0,0
1516055261254,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://localhost:8080/BiMr/]/map.xhtml,Thread Group 1-46,text,false,,1183,0,1,1,0,0,0
1516055261454,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://localhost:8080/BiMr/]/,Thread Group 1-47,text,false,,1174,0,1,1,0,0,0
1516055261454,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://localhost:8080/BiMr/]/map.xhtml,Thread Group 1-47,text,false,,1183,0,1,1,0,0,0
1516055261654,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://localhost:8080/BiMr/]/,Thread Group 1-48,text,false,,1174,0,1,1,0,0,0
1516055261654,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://localhost:8080/BiMr/]/map.xhtml,Thread Group 1-48,text,false,,1183,0,1,1,0,0,0
1516055261855,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://localhost:8080/BiMr/]/,Thread Group 1-49,text,false,,1174,0,1,1,0,0,0
1516055261855,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://localhost:8080/BiMr/]/map.xhtml,Thread Group 1-49,text,false,,1183,0,1,1,0,0,0
1516055262055,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://localhost:8080/BiMr/]/,Thread Group 1-50,text,false,,1174,0,1,1,0,0,0
1516055262055,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://localhost:8080/BiMr/]/map.xhtml,Thread Group 1-50,text,false,,1183,0,1,1,0,0,0
